input_curie	preferred_identifier	preferred_label	confidence	method	evidence
UMLS:C0259972	UMLS:C0259972	Ketogenic Diet		bridge_equivalence	combo_bridge:1.1.1.1
MESH:D055423	UMLS:C0259972	Ketogenic Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.1
NCIT:C173168	UMLS:C0259972	Ketogenic Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.1
SNOMEDCT:102269000	UMLS:C0259972	Ketogenic Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.1
SNOMEDCT:226108007	UMLS:C0259972	Ketogenic Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.1
SNOMEDCT:765060000	UMLS:C0259972	Ketogenic Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.1
UMLS:C4505336	UMLS:C4505336	Diet, High-Protein Low-Carbohydrate		bridge_equivalence	combo_bridge:1.1.1.2
UMLS:C1319849	UMLS:C1319849	Atkins Diet		bridge_equivalence	combo_bridge:1.1.1.2
MESH:D000076107	UMLS:C1319849		0.9	bridge_equivalence	combo_bridge:1.1.1.2
SNOMEDCT:407667003	UMLS:C1319849		0.9	bridge_equivalence	combo_bridge:1.1.1.2
SNOMEDCT:765024005	UMLS:C1319849		0.9	bridge_equivalence	combo_bridge:1.1.1.2
UMLS:C0344351	UMLS:C0344351	Gluten-Free Diet		bridge_equivalence	combo_bridge:1.1.1.3
MESH:D055050	UMLS:C0344351	Gluten-Free Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.3
NCIT:C157866	UMLS:C0344351	Gluten-Free Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.3
SNOMEDCT:138059006	UMLS:C0344351	Gluten-Free Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.3
SNOMEDCT:151208002	UMLS:C0344351	Gluten-Free Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.3
SNOMEDCT:160671006	UMLS:C0344351	Gluten-Free Diet	0.9	bridge_equivalence	combo_bridge:1.1.1.3
