combo_concept_id	combo_label	seed_identifier	canonical_identifier	equivalent_identifier	equivalent_label	mapping_confidence	mapping_source
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	UMLS:C0259972	Ketogenic Diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	MESH:D055423	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	NCIT:C173168	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	SNOMEDCT:102269000	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	SNOMEDCT:226108007	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	UMLS:C0259972	SNOMEDCT:765060000	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	UMLS:C0259972	Ketogenic Diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	MESH:D055423	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	NCIT:C173168	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	SNOMEDCT:102269000	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	SNOMEDCT:226108007	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.1	Ketogenic_Diet	MESH:D055423	UMLS:C0259972	SNOMEDCT:765060000	Ketogenic Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	UMLS:C4505336	UMLS:C4505336	UMLS:C4505336	Diet, High-Protein Low-Carbohydrate		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	MESH:D000076107	UMLS:C1319849	UMLS:C1319849	Atkins Diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	MESH:D000076107	UMLS:C1319849	MESH:D000076107		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	MESH:D000076107	UMLS:C1319849	SNOMEDCT:407667003		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	MESH:D000076107	UMLS:C1319849	SNOMEDCT:765024005		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	UMLS:C0344351	Gluten-Free Diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	MESH:D055050	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	NCIT:C157866	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:138059006	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:151208002	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:160671006	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:182926001	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:437651000124104	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	UMLS:C0344351	SNOMEDCT:6468003	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	UMLS:C0344351	Gluten-Free Diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	MESH:D055050	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	NCIT:C157866	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:138059006	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:151208002	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:160671006	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:182926001	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:437651000124104	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:6468003	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	UMLS:C0452423	Diet, Paleolithic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	MESH:D066046	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	SNOMEDCT:226241004	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	UMLS:C0452423	Diet, Paleolithic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	MESH:D066046	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	SNOMEDCT:226241004	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	UMLS:C0012166	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	MEDDRA:10025377	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	MESH:D015623	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	SNOMEDCT:102268008	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	UMLS:C0012166	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	MEDDRA:10025377	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	MESH:D015623	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	SNOMEDCT:102268008	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	UMLS:C5197846			self
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	MESH:D000095500		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	NCIT:C180543		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	UMLS:C1138412	Diet, Mediterranean		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	MESH:D038441		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	SNOMEDCT:1255163004		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	UMLS:C0311164	Vegetarian diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	MESH:D014676		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	MTH:U003174		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:138044000		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:5940000		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:765021002		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:80714005		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	HP:4000172	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	MEDDRA:10047178	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	UMLS:C0344353	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	UMLS:C0344353	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
