combo_concept_id	combo_label	umls_ids	mesh_ids	synonyms	provenance_urls
1.1	Nutritional_Intervention			Nutritional therapy	http://purl.bioontology.org/ontology/PDQ/CDR0000372898
1.1.1	Complementary_Dietary_Therapy			Complementary Dietary Intervention	
1.1.1.1	Ketogenic_Diet	UMLS:C0259972	MESH:D055423	Ketogenic Diets	https://uts.nlm.nih.gov/uts/umls/concept/C0259972|http://purl.bioontology.org/ontology/MESH/D055423
1.1.1.2	High_Protein_Low_Carbohydrate_Diet	UMLS:C4505336	MESH:D000076107	High Protein Carbohydrate Restricted Diet|High-Protein Carbohydrate-Restricted Diets|High Protein Low Carbohydrate Diets|High Protein Carbohydrate Restricted Diets|High-Protein Carbohydrate-Restricted Diet|Carbohydrate-Restricted High-Protein Diet|Carbohydrate Restricted High Protein Diet|High Protein Low Carbohydrate Diet|Low Carbohydrate High Protein Diet|South Beach Diet|Low-Carbohydrate High-Protein Diet|Carbohydrate-Restricted High-Protein Diets|High-Protein Low-Carbohydrate Diets|Low-Carbohydrate High-Protein Diets|Atkins Diet|Low Carbohydrate High Protein Diets|Carbohydrate Restricted High Protein Diets	https://uts.nlm.nih.gov/uts/umls/concept/C4505336|http://purl.bioontology.org/ontology/MESH/D000076107
1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	MESH:D055050	Gluten Free Diet|Gluten-Free Diets	http://purl.bioontology.org/ontology/MESH/D055050|https://uts.nlm.nih.gov/uts/umls/concept/C0344351
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	MESH:D066046	Caveman Diets|Stone Age Diet|Stone Age Diets|Hunter-Gatherer Diet|Paleo Diet|Caveman Diet|Paleo Diets|Hunter-Gatherer Diets	http://purl.bioontology.org/ontology/MESH/D066046|https://uts.nlm.nih.gov/uts/umls/concept/C0452423
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	MESH:D015623	Macrobiotic Diets|Macrobiotics Therapy	https://uts.nlm.nih.gov/uts/umls/concept/C0012166|http://purl.bioontology.org/ontology/MESH/D015623|http://purl.bioontology.org/ontology/PDQ/CDR0000574287
1.1.1.6	Detox_Diet			N/A	https://www.nccih.nih.gov/health/detoxes-and-cleanses-what-you-need-to-know
1.1.1.7	Plant_Based_Diet		MESH:D000095500	Plant Based Nutrition	http://purl.bioontology.org/ontology/MESH/D000095500
1.1.1.7.1	Mediterranean_Diet		MESH:D038441	N/A	http://purl.bioontology.org/ontology/MESH/D038441
1.1.1.7.2	Vegetarian_Diet		MESH:D014676	N/A	http://purl.bioontology.org/ontology/MESH/D014676
1.1.1.7.2.1	Macrobiotic_Diet				
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	MESH:D000067269	C0344353	http://purl.bioontology.org/ontology/MESH/D000067269
1.1.1.8	Raw_Food_Diet			N/A	
1.1.1.9	Western_Diet		MESH:D066273	Occidental Diet|Meat Sweet Diet|Western Dietary Pattern	http://purl.bioontology.org/ontology/MESH/D066273
