input_curie	preferred_identifier	preferred_label	confidence	method	evidence
MESH:D000161	UMLS:C0001164	Acoustic Stimulation	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D015667	UMLS:C0001300	Acupuncture Analgesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:150833003	UMLS:C0001300	Acupuncture Analgesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:182615005	UMLS:C0001300	Acupuncture Analgesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D015667	UMLS:C0001301	Acupuncture Anesthesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
ICD9CM:99.91	UMLS:C0001301	Acupuncture Anesthesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:ICD9CM
SNOMEDCT:150832008	UMLS:C0001301	Acupuncture Anesthesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:182614009	UMLS:C0001301	Acupuncture Anesthesia	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001155	UMLS:C0003827	Art Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C67031	UMLS:C0003827	Art Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C0003827	Art Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:65153003	UMLS:C0003827	Art Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001326	UMLS:C0004361	Autogenic Training	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0004361	Autogenic Training	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:389008003	UMLS:C0004361	Autogenic Training	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:44005004	UMLS:C0004361	Autogenic Training	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001346	UMLS:C0004404	Autosuggestion	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:386526006	UMLS:C0005365	Bibliotherapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001638	UMLS:C0005365	Bibliotherapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D001676	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
LOINC:LA28988-6	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:LNC
NCIT:C15186	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:28150003	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:228566007	UMLS:C0005491	Biofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001945	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:151547001	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:12895002	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:85903002	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
ICD9CM:93.18	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:ICD9CM
SNOMEDCT:20550006	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
NCIT:C160870	UMLS:C0006155	Breathing Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D015913	UMLS:C0007975	Chelation Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D015928	UMLS:C0009244		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0009244		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:228553007	UMLS:C0009244		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:304891004	UMLS:C0009244		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
