preferred_identifier	preferred_label	evidence	source_file
CHEBI:100147	Nalidixic acid	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:100241	Ciprofloxacin	ikraph	ikraph_edges_cleaned.csv
CHEBI:100246	Norfloxacin	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:10033	Warfarin	ikraph	ikraph_edges_cleaned.csv
CHEBI:10093	Yohimbine	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:10101	Zalcitabine	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:10106	zearalenone	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:101096	Ethoxzolamide	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:10110	Zidovudine	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:10125	Zolpidem	ikraph	ikraph_edges_cleaned.csv
CHEBI:101278	Diltiazem	ikraph	ikraph_edges_cleaned.csv
CHEBI:10136	Gingerol	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:1015	ORTHANILIC ACID	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
CHEBI:101853	Gemifloxacin	ikraph	ikraph_edges_cleaned.csv
CHEBI:102130	Sulfamerazine	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:102216	Methohexital	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:102265	Sulfamethazine	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
CHEBI:102484	Sulfisoxazole	ikraph|semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv|ikraph_edges_cleaned.csv
