input_curie	preferred_identifier	preferred_label	confidence	method	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.1	UMLS:C1882127	Nutritional Intervention	0.97	mrconso_exact	1.1	Nutritional_Intervention	COMBO:1.1	mrconso_exact:NCI:label:Nutritional_Intervention
COMBO:1.1.1.7.2.1	MESH:D015623	Macrobiotic Diet	0.97	mrconso_exact	1.1.1.7.2.1	Macrobiotic_Diet	COMBO:1.1.1.7.2.1	mrconso_exact:MSH:label:Macrobiotic_Diet
COMBO:1.2.3.1	MESH:D020831	Auricular Acupuncture	0.97	mrconso_exact	1.2.3.1	Auricular_Acupuncture	COMBO:1.2.3.1	mrconso_exact:MSH:label:Auricular_Acupuncture
COMBO:1.2.3.2	UMLS:C4321302	Battlefield Acupuncture	0.97	mrconso_exact	1.2.3.2	Battlefield_Acupuncture	COMBO:1.2.3.2	mrconso_exact:MTH:label:Battlefield_Acupuncture
COMBO:1.2.6.2.7	UMLS:C0282333	Relaxation training	0.97	mrconso_exact	1.2.6.2.7	Relaxation_Training	COMBO:1.2.6.2.7	mrconso_exact:SNOMEDCT_US:label:Relaxation_Training
COMBO:1.2.6.3.5	UMLS:C2713543	EEG biofeedback	0.97	mrconso_exact	1.2.6.3.5	Electroencephalogram_Biofeedback	COMBO:1.2.6.3.5	mrconso_exact:SNOMEDCT_US:synonym:EEG Biofeedback
COMBO:1.2.6.4.1.3.1	MESH:D027641	Laughter Yoga	0.97	mrconso_exact	1.2.6.4.1.3.1	Laughter_Yoga	COMBO:1.2.6.4.1.3.1	mrconso_exact:MSH:label:Laughter_Yoga
COMBO:1.2.6.4.1.3.3	MESH:D012860	Raja	0.97	mrconso_exact	1.2.6.4.1.3.3	Raja_Yoga	COMBO:1.2.6.4.1.3.3	mrconso_exact:MSH:synonym:Raja
COMBO:1.2.8.1.1	MESH:D026302	Tai Chi	0.97	mrconso_exact	1.2.8.1.1	Tai_Chi	COMBO:1.2.8.1.1	mrconso_exact:MSH:label:Tai_Chi
COMBO:1.2.8.2.3.1.3.1	UMLS:C0872259	Repetitive Transcranial Magnetic Stimulation	0.97	mrconso_exact	1.2.8.2.3.1.3.1	Repetitive_Transcranial_Magnetic_Stimulation	COMBO:1.2.8.2.3.1.3.1	mrconso_exact:NCI:label:Repetitive_Transcranial_Magnetic_Stimulation
COMBO:1.2.8.2.7.2	MESH:D010778	Photodynamic Therapy	0.97	mrconso_exact	1.2.8.2.7.2	Photodynamic_Therapy	COMBO:1.2.8.2.7.2	mrconso_exact:MSH:label:Photodynamic_Therapy
COMBO:1.2.15.1	MESH:D026201	Reflexology	0.97	mrconso_exact	1.2.15.1	Reflexology	COMBO:1.2.15.1	mrconso_exact:MSH:label:Reflexology
COMBO:1.2.15.1.1	UMLS:C1273536	Acu-reflexology	0.97	mrconso_exact	1.2.15.1.1	Acu_Reflexology	COMBO:1.2.15.1.1	mrconso_exact:SNOMEDCT_US:label:Acu_Reflexology
COMBO:1.2.17.2	UMLS:C0020548	Heat Therapy	0.97	mrconso_exact	1.2.17.2	Heat_Therapy	COMBO:1.2.17.2	mrconso_exact:NCI:label:Heat_Therapy
COMBO:1.2.17.2.2	MESH:D029002	Sauna	0.97	mrconso_exact	1.2.17.2.2	Sauna_Therapy	COMBO:1.2.17.2.2	mrconso_exact:MSH:synonym:Sauna
COMBO:1.2.22.10	UMLS:C5238484	Whole Body Vibration Therapy	0.97	mrconso_exact	1.2.22.10	Whole_Body_Vibration_Therapy	COMBO:1.2.22.10	mrconso_exact:NCI:label:Whole_Body_Vibration_Therapy
COMBO:1.3	MESH:D000083626	Psychological Intervention	0.97	mrconso_exact	1.3	Psychological_Intervention	COMBO:1.3	mrconso_exact:MSH:label:Psychological_Intervention
COMBO:1.3.1.1	UMLS:C0006155	Breathing exercise	0.97	mrconso_exact	1.3.1.1	Breathing_Exercise	COMBO:1.3.1.1	mrconso_exact:SNOMEDCT_US:label:Breathing_Exercise
COMBO:1.3.1.1.2	UMLS:C1328799	Deep breathing	0.97	mrconso_exact	1.3.1.1.2	Deep_Breathing	COMBO:1.3.1.1.2	mrconso_exact:MTH:label:Deep_Breathing
COMBO:1.3.1.2	MESH:D012064	Relaxation Technique	0.97	mrconso_exact	1.3.1.2	Relaxation_Technique	COMBO:1.3.1.2	mrconso_exact:MSH:label:Relaxation_Technique
COMBO:1.3.1.2.1	MESH:D001155	Art Therapy	0.97	mrconso_exact	1.3.1.2.1	Art_Therapy	COMBO:1.3.1.2.1	mrconso_exact:MSH:label:Art_Therapy
COMBO:1.3.1.2.2	UMLS:C0597811	Humor therapy	0.97	mrconso_exact	1.3.1.2.2	Humor_Therapy	COMBO:1.3.1.2.2	mrconso_exact:MTH:label:Humor_Therapy
COMBO:1.3.1.2.2.1	MESH:D027641	Laughter Therapy	0.97	mrconso_exact	1.3.1.2.2.1	Laughter_Therapy	COMBO:1.3.1.2.2.1	mrconso_exact:MSH:label:Laughter_Therapy
COMBO:1.3.1.2.2.1.1	MESH:D027641	Laughter Yoga	0.97	mrconso_exact	1.3.1.2.2.1.1	Laughter_Yoga	COMBO:1.3.1.2.2.1.1	mrconso_exact:MSH:label:Laughter_Yoga
COMBO:1.3.1.2.3	MESH:D009147	Music Therapy	0.97	mrconso_exact	1.3.1.2.3	Music_Therapy	COMBO:1.3.1.2.3	mrconso_exact:MSH:label:Music_Therapy
COMBO:1.3.1.2.4	MESH:D026201	Reflexology	0.97	mrconso_exact	1.3.1.2.4	Reflexology	COMBO:1.3.1.2.4	mrconso_exact:MSH:label:Reflexology
COMBO:1.3.1.2.4.1	UMLS:C1273536	Acu-reflexology	0.97	mrconso_exact	1.3.1.2.4.1	Acu_Reflexology	COMBO:1.3.1.2.4.1	mrconso_exact:SNOMEDCT_US:label:Acu_Reflexology
COMBO:1.3.1.2.5	MESH:D001326	Progressive Muscle Relaxation	0.97	mrconso_exact	1.3.1.2.5	Progressive_Muscle_Relaxation	COMBO:1.3.1.2.5	mrconso_exact:MSH:label:Progressive_Muscle_Relaxation
COMBO:1.3.1.2.7	UMLS:C0282333	Relaxation training	0.97	mrconso_exact	1.3.1.2.7	Relaxation_Training	COMBO:1.3.1.2.7	mrconso_exact:SNOMEDCT_US:label:Relaxation_Training
COMBO:1.3.1.3	MESH:D001676	Biofeedback	0.97	mrconso_exact	1.3.1.3	Biofeedback	COMBO:1.3.1.3	mrconso_exact:MSH:label:Biofeedback
COMBO:1.3.1.3.1	MESH:D056228	Sensory Feedback	0.97	mrconso_exact	1.3.1.3.1	Sensory_Feedback	COMBO:1.3.1.3.1	mrconso_exact:MSH:label:Sensory_Feedback
COMBO:1.3.1.3.2	MESH:D058765	Neurofeedback	0.97	mrconso_exact	1.3.1.3.2	Neurofeedback	COMBO:1.3.1.3.2	mrconso_exact:MSH:label:Neurofeedback
COMBO:1.3.1.4	MESH:D005081	Exercise Therapy	0.97	mrconso_exact	1.3.1.4	Exercise_Therapy	COMBO:1.3.1.4	mrconso_exact:MSH:label:Exercise_Therapy
COMBO:1.3.1.4.1.2	MESH:D026302	Tai Chi	0.97	mrconso_exact	1.3.1.4.1.2	Tai_Chi	COMBO:1.3.1.4.1.2	mrconso_exact:MSH:label:Tai_Chi
COMBO:1.3.1.4.1.3	UMLS:C1883583	Yoga Therapy	0.97	mrconso_exact	1.3.1.4.1.3	Yoga_Therapy	COMBO:1.3.1.4.1.3	mrconso_exact:NCI:label:Yoga_Therapy
COMBO:1.3.1.4.1.3.1	MESH:D027641	Laughter Yoga	0.97	mrconso_exact	1.3.1.4.1.3.1	Laughter_Yoga	COMBO:1.3.1.4.1.3.1	mrconso_exact:MSH:label:Laughter_Yoga
COMBO:1.3.1.4.2	MESH:D003614	Dance Therapy	0.97	mrconso_exact	1.3.1.4.2	Dance_Therapy	COMBO:1.3.1.4.2	mrconso_exact:MSH:label:Dance_Therapy
COMBO:1.3.1.5.1	UMLS:C0597812	Alexander technique	0.97	mrconso_exact	1.3.1.5.1	Alexander_Technique	COMBO:1.3.1.5.1	mrconso_exact:SNOMEDCT_US:label:Alexander_Technique
COMBO:1.3.4.1	MESH:D016500	Color Therapy	0.97	mrconso_exact	1.3.4.1	Color_Therapy	COMBO:1.3.4.1	mrconso_exact:MSH:label:Color_Therapy
COMBO:1.3.4.5.1	MESH:D001155	Art Therapy	0.97	mrconso_exact	1.3.4.5.1	Art_Therapy	COMBO:1.3.4.5.1	mrconso_exact:MSH:label:Art_Therapy
COMBO:1.3.4.5.2	MESH:D009147	Music Therapy	0.97	mrconso_exact	1.3.4.5.2	Music_Therapy	COMBO:1.3.4.5.2	mrconso_exact:MSH:label:Music_Therapy
COMBO:1.3.4.5.3	MESH:D003614	Dance Therapy	0.97	mrconso_exact	1.3.4.5.3	Dance_Therapy	COMBO:1.3.4.5.3	mrconso_exact:MSH:label:Dance_Therapy
COMBO:1.3.7.1	MESH:D019124	Therapeutic Touch	0.97	mrconso_exact	1.3.7.1	Therapeutic_Touch	COMBO:1.3.7.1	mrconso_exact:MSH:label:Therapeutic_Touch
COMBO:1.3.7.4.2.13	UMLS:C0205172	More	0.97	mrconso_exact	1.3.7.4.2.13	Mindfulness_Oriented_Recovery_Enhancement	COMBO:1.3.7.4.2.13	mrconso_exact:MTH:synonym:MORE
COMBO:1.3.8.1	MESH:D027641	Laughter Therapy	0.97	mrconso_exact	1.3.8.1	Laughter_Therapy	COMBO:1.3.8.1	mrconso_exact:MSH:label:Laughter_Therapy
COMBO:1.3.8.1.1	MESH:D027641	Laughter Yoga	0.97	mrconso_exact	1.3.8.1.1	Laughter_Yoga	COMBO:1.3.8.1.1	mrconso_exact:MSH:label:Laughter_Yoga
COMBO:1.3.8.2	MESH:D019341	Aromatherapy	0.97	mrconso_exact	1.3.8.2	Aromatherapy	COMBO:1.3.8.2	mrconso_exact:MSH:label:Aromatherapy
