combo_concept_id	combo_label	synonyms	candidate_count	best_identifier	best_label	best_sab	matched_query	match_source	reason	candidates
1.3.1	Mind		1	UMLS:C0229992	Mind	SNOMEDCT_US	Mind	label	short_term_requires_review	UMLS:C0229992::Mind::SNOMEDCT_US
1.3.1.4.3	Aikido		2	MESH:D016139	Aikido	MSH	Aikido	label	short_term_requires_review	MESH:D016139::Aikido::MSH|UMLS:C0078912::Aikido::SNOMEDCT_US
1.3.7.4.2.16	Mindfulness_Based_College	MSC	5	UMLS:C0074299	MSC	NCI	MSC	synonym	ambiguous_many_candidates	UMLS:C0074299::MSC::NCI|UMLS:C1431322::MSC::NCI|UMLS:C2828209::MSC::NCI|UMLS:C3178844::MSC::NCI|UMLS:C1334531::MSC::NCI
2.2.2.2	Asian_Ginseng	white ginseng|red ginseng|ginseng root|Korean ginseng|Chinese ginseng|Asian ginseng	6	MESH:C000713447	Asian ginseng	MSH	Asian_Ginseng	label	ambiguous_many_candidates	MESH:C000713447::Asian ginseng::MSH|MESH:D005894::Korean Ginseng::MSH|UMLS:C0873046::ginseng root::MTH|UMLS:C0873137::Korean Ginseng::NCI|UMLS:C0873138::Asian Ginseng::NCI|UMLS:C1119918::Ginseng Root::NCI
2.2.2.6	Dandelion	lion|blowball	5	MESH:D031205	Dandelion	MSH	Dandelion	label	ambiguous_many_candidates	MESH:D031205::Dandelion::MSH|MESH:D008045::Lion::MSH|UMLS:C3486299::Blowball::NCI|UMLS:C0023756::Lion::SNOMEDCT_US|UMLS:C0877851::Dandelion::SNOMEDCT_US
2.2.2.7	Ephedra	ma huang|Chinese ephedra	6	MESH:D029790	Ma Huang	MSH	ma huang	synonym	ambiguous_many_candidates	MESH:D029790::Ma Huang::MSH|MESH:D029789::Ephedra::MSH|UMLS:C0950030::Ephedra::MTH|UMLS:C2348458::Ma Huang::NCI|UMLS:C3853658::Ma Huang::NCI|UMLS:C0390643::Ma huang::SNOMEDCT_US
2.2.2.8	Ginger	N/A	4	MESH:D020939	Ginger	MSH	Ginger	label	ambiguous_many_candidates	MESH:D020939::Ginger::MSH|UMLS:C0162751::Ginger::NCI|UMLS:C1879327::Ginger::NCI|UMLS:C0939895::Ginger::SNOMEDCT_US
2.2.2.9	Ginkgo	Japanese silver apricot|Ginkgo biloba|maidenhair tree|fossil tree	5	MESH:D020441	Ginkgo	MSH	Ginkgo	label	ambiguous_many_candidates	MESH:D020441::Ginkgo::MSH|UMLS:C0330206::Ginkgo biloba::MTH|UMLS:C3531686::Ginkgo biloba::NCI|UMLS:C0772125::Ginkgo biloba::NCI|UMLS:C0330205::Ginkgo::SNOMEDCT_US
2.2.2.10	Tea	N/A	3	MESH:D013662	Tea	MSH	Tea	label	short_term_requires_review	MESH:D013662::Tea::MSH|UMLS:C0039400::Tea::MTH|UMLS:C4724036::TEA::NCI
2.2.2.12	Licorice_Root	licorice|liquorice|Chinese licorice|gan zao|gan cao|sweet root	5	MESH:D006035	Licorice	MSH	licorice	synonym	ambiguous_many_candidates	MESH:D006035::Licorice::MSH|MESH:D029882::Chinese Licorice::MSH|UMLS:C0086555::licorice::MTH|UMLS:C0770612::Licorice::NCI|UMLS:C2756786::Licorice Root::NCI
2.2.2.14	Mugwort	felon herb|common wormwood|chrysanthemum weed|St. John|wild wormwood|sailor	5	MESH:D008889	Sailor	MSH	sailor	synonym	ambiguous_many_candidates	MESH:D008889::Sailor::MSH|MESH:D019306::Mugwort::MSH|UMLS:C0348066::Mugwort::MTH|UMLS:C3715198::Mugwort::NCI|UMLS:C0454976::St. John::SNOMEDCT_US
2.2.2.20	Aloe_Vera	aloe	4	MESH:D000504	Aloe vera	MSH	Aloe_Vera	label	ambiguous_many_candidates	MESH:D000504::Aloe vera::MSH|UMLS:C0002168::Aloe::MTH|UMLS:C0718405::Aloe vera::NCI|UMLS:C0304554::Aloe::SNOMEDCT_US
2.2.2.22	Marijuana	N/A	4	MESH:D002188	Marijuana	MSH	Marijuana	label	ambiguous_many_candidates	MESH:D002188::Marijuana::MSH|UMLS:C4552088::Marijuana::NCI|UMLS:C0024808::Marijuana::NCI|UMLS:C0700268::Marijuana::SNOMEDCT_US
2.2.2.23	Bilberry	whortleberry|European bilberry|huckleberry	4	MESH:D029800	Bilberry	MSH	Bilberry	label	ambiguous_many_candidates	MESH:D029800::Bilberry::MSH|MESH:D029797::Huckleberry::MSH|UMLS:C0950035::Huckleberry::MTH|UMLS:C0936049::Bilberry::SNOMEDCT_US
2.2.2.24	Black_Cohosh	macrotys|rattleweed|black snakeroot|bugwort|bugbane|rattleroot	4	MESH:D031842	Bugbane	MSH	bugbane	synonym	ambiguous_many_candidates	MESH:D031842::Bugbane::MSH|MESH:D031885::Black Cohosh::MSH|UMLS:C1014887::Rattleweed::NCI|UMLS:C0771967::Black Cohosh::NCI
2.2.2.26	Chamomile	German chamomile	5	MESH:D031168	German Chamomile	MSH	German chamomile	synonym	ambiguous_many_candidates	MESH:D031168::German Chamomile::MSH|MESH:D020843::Chamomile::MSH|UMLS:C0752226::Chamomile::MTH|UMLS:C0439963::Chamomile::NCI|UMLS:C1510478::German Chamomile::NCI
2.2.2.27	Chasteberry	chaste tree|monk's pepper|vitex	4	MESH:D020950	Chaste Tree	MSH	chaste tree	synonym	ambiguous_many_candidates	MESH:D020950::Chaste Tree::MSH|UMLS:C3887788::Chasteberry::MTH|UMLS:C0752339::Vitex::NCI|UMLS:C0771966::Chasteberry::NCI
2.2.2.28	Echinacea	American coneflower|purple coneflower|coneflower	4	MESH:D020900	Purple Coneflower	MSH	purple coneflower	synonym	ambiguous_many_candidates	MESH:D020900::Purple Coneflower::MSH|UMLS:C0874052::Purple Coneflower::NCI|UMLS:C1095869::Purple Coneflower::NCI|UMLS:C0752270::Echinacea::SNOMEDCT_US
2.2.2.31	Garlic	N/A	5	MESH:D005737	Garlic	MSH	Garlic	label	ambiguous_many_candidates	MESH:D005737::Garlic::MSH|UMLS:C0993630::Garlic::MTH|UMLS:C0017102::Garlic::NCI|UMLS:C0331590::Garlic::SNOMEDCT_US|UMLS:C0885057::Garlic::SNOMEDCT_US
2.2.2.35	Sage	true sage|garden sage|common sage	3	UMLS:C0876956	SAGE	NCI	Sage	label	short_term_requires_review	UMLS:C0876956::SAGE::NCI|UMLS:C3668955::Common Sage::NCI|UMLS:C1122976::Sage::SNOMEDCT_US
2.2.2.36	St	hypericum|Klamath weed|goatweed	7	MESH:Q000592	ST	MSH	St	label	ambiguous_blocklisted_token	MESH:Q000592::ST::MSH|MESH:D020902::Hypericum::MSH|UMLS:C1256259::Hypericum::MTH|UMLS:C1662819::Hypericum::NCI|UMLS:C3272372::ST::NCI|UMLS:C0936242::Klamath weed::NCI|UMLS:C1706292::Hypericum::SNOMEDCT_US
2.2.2.37	Valerian	garden heliotrope|all-heal	5	MESH:D014632	Garden Heliotrope	MSH	garden heliotrope	synonym	ambiguous_many_candidates	MESH:D014632::Garden Heliotrope::MSH|UMLS:C0042281::Valerian::MTH|UMLS:C0993600::Valerian::NCI|UMLS:C2348950::Garden Heliotrope::NCI|UMLS:C0795674::Valerian::NCI
2.2.2.38	Cat	N/A	15	MESH:D002415	Cat	MSH	Cat	label	ambiguous_blocklisted_token	MESH:D002415::Cat::MSH|UMLS:C0007366::CAT::NCI|UMLS:C0007450::Cat::NCI|UMLS:C0008169::cat::NCI|UMLS:C1366498::cat::NCI|UMLS:C3530118::CAT::NCI|UMLS:C4050461::CAT::NCI|UMLS:C4758039::CAT::NCI|UMLS:C0040405::CAT::NCI|UMLS:C1413138::CAT::NCI|UMLS:C0325089::Cat::SNOMEDCT_US|UMLS:C0325090::Cat::SNOMEDCT_US|UMLS:C0524517::Cat::SNOMEDCT_US|UMLS:C1270185::Cat::SNOMEDCT_US|UMLS:C3665481::Cat::SNOMEDCT_US
2.2.2.42	Kava	kava kava|ava root|kawa|ava pepper	3	MESH:D020901	Kava Kava	MSH	kava kava	synonym	short_term_requires_review	MESH:D020901::Kava Kava::MSH|UMLS:C0521083::Kava::MTH|UMLS:C0939882::Kava kava::SNOMEDCT_US
2.2.2.43	Hoodia	Kalahari cactus|Xhoba	2	MESH:D000068798	Hoodia	MSH	Hoodia	label	short_term_requires_review	MESH:D000068798::Hoodia::MSH|UMLS:C1218365::Hoodia::MTH
2.2.2.44	Yohimbe	johimbi	2	MESH:D032068	Yohimbe	MSH	Yohimbe	label	short_term_requires_review	MESH:D032068::Yohimbe::MSH|UMLS:C1123032::Yohimbe::MTH
2.2.2.45	Kratom	N/A	2	MESH:D032065	Kratom	MSH	Kratom	label	short_term_requires_review	MESH:D032065::Kratom::MSH|UMLS:C1197867::Kratom::SNOMEDCT_US
