input_curie	preferred_identifier	preferred_label	confidence	method	combo_concept_id	combo_label	source_identifier	evidence
UMLS:C0259972	UMLS:C0259972	Ketogenic_Diet	1.0	deterministic_direct	1.1.1.1	Ketogenic_Diet	UMLS:C0259972	https://uts.nlm.nih.gov/uts/umls/concept/C0259972|http://purl.bioontology.org/ontology/MESH/D055423
MESH:D055423	UMLS:C0259972	Ketogenic_Diet	0.9	deterministic_crosswalk	1.1.1.1	Ketogenic_Diet	MESH:D055423	https://uts.nlm.nih.gov/uts/umls/concept/C0259972|http://purl.bioontology.org/ontology/MESH/D055423
UMLS:C4505336	UMLS:C4505336	High_Protein_Low_Carbohydrate_Diet	1.0	deterministic_direct	1.1.1.2	High_Protein_Low_Carbohydrate_Diet	UMLS:C4505336	https://uts.nlm.nih.gov/uts/umls/concept/C4505336|http://purl.bioontology.org/ontology/MESH/D000076107
MESH:D000076107	UMLS:C1319849	High_Protein_Low_Carbohydrate_Diet	0.9	deterministic_crosswalk	1.1.1.2	High_Protein_Low_Carbohydrate_Diet	MESH:D000076107	https://uts.nlm.nih.gov/uts/umls/concept/C4505336|http://purl.bioontology.org/ontology/MESH/D000076107
UMLS:C0344351	UMLS:C0344351	Gluten_Free_Diet	1.0	deterministic_direct	1.1.1.3	Gluten_Free_Diet	UMLS:C0344351	http://purl.bioontology.org/ontology/MESH/D055050|https://uts.nlm.nih.gov/uts/umls/concept/C0344351
MESH:D055050	UMLS:C0344351	Gluten_Free_Diet	0.9	deterministic_crosswalk	1.1.1.3	Gluten_Free_Diet	MESH:D055050	http://purl.bioontology.org/ontology/MESH/D055050|https://uts.nlm.nih.gov/uts/umls/concept/C0344351
UMLS:C0452423	UMLS:C0452423	Paleolithic_Diet	1.0	deterministic_direct	1.1.1.4	Paleolithic_Diet	UMLS:C0452423	http://purl.bioontology.org/ontology/MESH/D066046|https://uts.nlm.nih.gov/uts/umls/concept/C0452423
MESH:D066046	UMLS:C0452423	Paleolithic_Diet	0.9	deterministic_crosswalk	1.1.1.4	Paleolithic_Diet	MESH:D066046	http://purl.bioontology.org/ontology/MESH/D066046|https://uts.nlm.nih.gov/uts/umls/concept/C0452423
UMLS:C0012166	UMLS:C0012166	Macrobiotic_Diet	1.0	deterministic_direct	1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	https://uts.nlm.nih.gov/uts/umls/concept/C0012166|http://purl.bioontology.org/ontology/MESH/D015623|http://purl.bioontology.org/ontology/PDQ/CDR0000574287
MESH:D015623	UMLS:C0012166	Macrobiotic_Diet	0.9	deterministic_crosswalk	1.1.1.5	Macrobiotic_Diet	MESH:D015623	https://uts.nlm.nih.gov/uts/umls/concept/C0012166|http://purl.bioontology.org/ontology/MESH/D015623|http://purl.bioontology.org/ontology/PDQ/CDR0000574287
MESH:D000095500	UMLS:C5197846	Plant_Based_Diet	0.9	deterministic_crosswalk	1.1.1.7	Plant_Based_Diet	MESH:D000095500	http://purl.bioontology.org/ontology/MESH/D000095500
MESH:D038441	UMLS:C1138412	Mediterranean_Diet	0.9	deterministic_crosswalk	1.1.1.7.1	Mediterranean_Diet	MESH:D038441	http://purl.bioontology.org/ontology/MESH/D038441
