combo_concept_id	combo_label	synonyms	reason
1.1.1	Complementary_Dietary_Therapy	Complementary Dietary Intervention	no_mrconso_exact_match
1.1.1.6	Detox_Diet	N/A	no_mrconso_exact_match
1.1.1.8	Raw_Food_Diet	N/A	no_mrconso_exact_match
1.1.7	Microbiome_Metabolite_Therapy	Microbiome Metabolite	no_mrconso_exact_match
1.1.8	Food_Metabolite_Based_Therapy	Food Metabolite	no_mrconso_exact_match
1.1.14	Practitioner_Guided_Detoxification	N/A	no_mrconso_exact_match
1.2	Physical_Intervention	N/A	no_mrconso_exact_match
1.2.6.2.1.1.2	Chinese_Calligraphy_Therapy	N/A	no_mrconso_exact_match
1.2.6.2.1.1.4	Mandala_Therapy	Mandalas	no_mrconso_exact_match
1.2.6.2.3.1	Musical_Game	Musical Games	no_mrconso_exact_match
1.2.6.2.5.1	Abbreviated_Muscle_Relaxation_Therapy	N/A	no_mrconso_exact_match
1.2.6.4.1	Meditative_Movement	N/A	no_mrconso_exact_match
1.2.6.4.1.3.2	Kundalini_Yoga	Yoga of Awareness|Kundalini|Coiled Yoga	no_mrconso_exact_match
1.2.6.4.1.3.4	Circular_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.5	Face_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.6	Pranayama_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.7	Sudarshana_Kriya_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.8	Kripalu_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.9	Hot_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.9.1	Bikram_Yoga	Bikram	no_mrconso_exact_match
1.2.6.4.1.3.10	Ashtanga_Yoga	Ashtanga	no_mrconso_exact_match
1.2.6.4.1.3.11	Tibetan_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.12	Chair_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.13	Sivananda_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.14	Bhakti_Yoga	Bhakti	no_mrconso_exact_match
1.2.6.4.1.3.15	Tantra_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.16	Vinyasa_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.17	Creative_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.18	Relaxing_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.19	Power_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.20	Iyengar_Yoga	Iyengar|yoga Iyengar	no_mrconso_exact_match
1.2.6.4.1.3.21	Karma_Yoga	Karma	no_mrconso_exact_match
1.2.6.4.1.3.22	Jinana_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.23	Sahaj_Yoga	N/A	no_mrconso_exact_match
1.2.6.4.1.3.24	Hatha_Yoga	Hatha	no_mrconso_exact_match
1.2.6.4.1.3.25	Yoga_Nidra	N/A	no_mrconso_exact_match
1.2.6.4.1.4.1	Hua_Gong	N/A	no_mrconso_exact_match
1.2.6.4.1.4.2	Medical_Qigong	N/A	no_mrconso_exact_match
1.2.6.4.1.4.2.2	Dongeui_Qigong	N/A	no_mrconso_exact_match
1.2.6.4.1.4.2.3	Guolin_Qigong	Guolin	no_mrconso_exact_match
1.2.6.4.1.4.2.4	Qigong_Healer	N/A	no_mrconso_exact_match
1.2.6.4.1.4.3	Chan_Mi_Gong	N/A	no_mrconso_exact_match
