input_curie	preferred_identifier	preferred_label	confidence	method	mapping_relation	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.2.1.5	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.5	Japanese_Acupuncture	COMBO:1.2.1.5	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.1.7	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.7	Korean_Acupuncture	COMBO:1.2.1.7	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.1.8	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.8	Single_Point_Acupuncture	COMBO:1.2.1.8	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.1.9	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.9	Hand_Acupuncture	COMBO:1.2.1.9	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.1.10	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.10	Foot_Acupuncture	COMBO:1.2.1.10	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.1.11	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.11	Acu_Moxibustion	COMBO:1.2.1.11	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.1.11.1	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.11.1	Needle_Moxibustion	COMBO:1.2.1.11.1	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.1.11.1.1	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.11.1.1	Warm_Needle_Moxibustion	COMBO:1.2.1.11.1.1	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.1.12	UMLS:C0394664	Acupuncture	0.78	variant_parent_mapping	narrow_to_parent	1.2.1.12	Chinese_Acupuncture	COMBO:1.2.1.12	variant_parent:narrow_to_parent:acupuncture
COMBO:1.2.6.1.1	UMLS:C0006155	Breathing_Exercise	0.72	variant_parent_mapping	close_match	1.2.6.1.1	Buteyko_Breathing_Technique	COMBO:1.2.6.1.1	variant_parent:close_match:breathing exercise
COMBO:1.2.6.2.1.1	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.1	Visual_Art_Therapy	COMBO:1.2.6.2.1.1	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.1.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.1.3	Clay_Art_Therapy	COMBO:1.2.6.2.1.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.3	Phenomenological_Art_Therapy	COMBO:1.2.6.2.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.1.4	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.4	Mindfulness_Based_Art_Therapy	COMBO:1.2.6.2.1.4	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.1.5	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.5	Psychodynamic_Group_Art_Therapy	COMBO:1.2.6.2.1.5	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.1.6	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.1.6	Anthroposophic_Art_Therapy	COMBO:1.2.6.2.1.6	variant_parent:narrow_to_parent:art therapy
COMBO:1.2.6.2.3.2	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.2	Orff_Based_Music_Therapy	COMBO:1.2.6.2.3.2	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.9	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.9	Active_Music_Therapy	COMBO:1.2.6.2.3.9	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.9.1	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.9.1	Interactive_Music_Therapy	COMBO:1.2.6.2.3.9.1	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.14	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.14	Instructional_Music_Therapy	COMBO:1.2.6.2.3.14	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.15	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.15	Improvisational_Music_Therapy	COMBO:1.2.6.2.3.15	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.19	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.19	Calming_Music_Therapy	COMBO:1.2.6.2.3.19	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.3.20	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.3.20	Live_Music_Therapy	COMBO:1.2.6.2.3.20	variant_parent:narrow_to_parent:music therapy
COMBO:1.2.6.2.4.2	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.4.2	Lymphatic_Reflexology	COMBO:1.2.6.2.4.2	variant_parent:narrow_to_parent:reflexology
COMBO:1.2.6.2.4.3	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.4.3	Foot_Reflexology	COMBO:1.2.6.2.4.3	variant_parent:narrow_to_parent:reflexology
COMBO:1.2.6.2.4.4	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.6.2.4.4	Hand_Reflexology	COMBO:1.2.6.2.4.4	variant_parent:narrow_to_parent:reflexology
