umls_key	original_label	prefix	local_id	id_label
UMLS:C0591086	Amytal	RXCUI	151348	
UMLS:C0388398	S 16474	MESH	C098862	S 16474
UMLS:C0607901	N-acetyl-3-methylhistidine	MESH	C018440	N-acetyl-3-methylhistidine
UMLS:C1427911	SLC16A12	MESH	C527548	SLC16A12 protein, human
UMLS:C0057456	deoxypyrimidine 5'-nucleotidase	MESH	C040296	deoxypyrimidine 5'-nucleotidase
UMLS:C0391078	RB 106	MESH	C100456	RB 106
UMLS:C1137405	SCH 351591	MESH	C459379	SCH 351591
UMLS:C1506311	Nucleoside Diphosphate Kinase D	MESH	D061107	Nucleoside Diphosphate Kinase D
UMLS:C1420888	TRAF3	MESH	C090656	TRAF3 protein, human
UMLS:C1122714	ribophostin	MESH	C446924	ribophostin
UMLS:C1566235	4-methylspinaceamine	MESH	C496999	4-methylspinaceamine
UMLS:C0546851	benzphetamine hydrochloride	RXCUI	142425	
UMLS:C1538457	CHMP4A	MESH	C481529	CHMP4A protein, human
UMLS:C1433390	RLN3	MESH	C480238	RLN3 protein, human
UMLS:C0311974	taurocyamine kinase	MESH	C022716	taurocyamine kinase
UMLS:C0313351	hemoglobin Pitie Salpetriere	MESH	C032380	hemoglobin Pitie Salpetriere
UMLS:C0282331	quinacrine monohydrochloride	RXCUI	82092	
UMLS:C2981359	fezakinumab	MESH	C000629141	fezakinumab
UMLS:C2981359	fezakinumab	DRUGBANK	DB12344	Fezakinumab
UMLS:C1835898	PALB2	MESH	C512790	PALB2 protein, human
UMLS:C1433563	3-isocyanotheonellin	MESH	C480378	3-isocyanotheonellin
UMLS:C1419272	RARG	MESH	C000727998	RARG protein, human
UMLS:C1414532	FANCF	MESH	C499901	FANCF protein, human
UMLS:C0534659	neurin-1	MESH	C103810	neurin-1
UMLS:C0053844	blastogenic factor	MESH	C027779	blastogenic factor
UMLS:C1336659	TOP3A	MESH	C000630579	TOP3A protein, human
UMLS:C1570452	GIF-0430	MESH	C501616	GIF-0430
UMLS:C0770077	MSRB2	MESH	C120376	MSRB2 protein, human
UMLS:C0072962	Radon Daughters	MESH	D017687	Radon Daughters
UMLS:C0299071	dextrose albumin solution	MESH	C094311	dextrose albumin solution
UMLS:C0911917	lefaxin	MESH	C403770	lefaxin
UMLS:C1422502	SMPD3	MESH	C491484	SMPD3 protein, human
UMLS:C0035499	Rhodopsin	MESH	D012243	Rhodopsin
UMLS:C0007017	Carbon Isotopes	MESH	D002247	Carbon Isotopes
UMLS:C0047557	3-methoxytyrosine	MESH	C008404	3-methoxytyrosine
UMLS:C0766087	Ro 48-5695	MESH	C118553	Ro 48-5695
UMLS:C1438680	GALNT3	MESH	C000727971	GALNT3 protein, human
UMLS:C1335989	Chemokine CXCL9	MESH	D054370	Chemokine CXCL9
UMLS:C1417702	NFE2L3	MESH	C117963	NFE2L3 protein, human
UMLS:C1969043	SGMS2	MESH	C000709035	SGMS2 protein, human
UMLS:C0389338	N-(2-(3-oxazolidonyl)ethyl)valine	MESH	C099331	N-(2-(3-oxazolidonyl)ethyl)valine
UMLS:C1831629	genexol-PM	MESH	C000708971	genexol-PM
UMLS:C1419408	RNASE2	MESH	C479221	RNASE2 protein, human
UMLS:C1434090	SOSTDC1	MESH	C480733	SOSTDC1 protein, human
UMLS:C1422335	PRDM13	MESH	C000628518	PRDM13 protein, human
UMLS:C0073063	mu1 protein, Reovirus	MESH	C055356	mu1 protein, Reovirus
UMLS:C0297915	galactoglucan	MESH	C093768	galactoglucan
UMLS:C0297915	galactoglucan	CAS	55787-15-0	
UMLS:C4519740	ENFORTUMAB	UNII	DLE8519RWM	ENFORTUMAB VEDOTIN
UMLS:C4519740	ENFORTUMAB	CHEMBL.COMPOUND	CHEMBL3301579	ENFORTUMAB
UMLS:C4519740	ENFORTUMAB	CHEMBL.COMPOUND	CHEMBL3301589	
UMLS:C4519740	ENFORTUMAB	DRUGBANK	DB13007	Enfortumab vedotin
UMLS:C4519740	ENFORTUMAB	MESH	C000632577	enfortumab vedotin
UMLS:C4519740	ENFORTUMAB	DrugCentral	5366	enfortumab vedotin
UMLS:C4519740	ENFORTUMAB	RXCUI	2277607	
UMLS:C1428848	LZTS2	MESH	C440108	LZTS2 protein, human
UMLS:C0305770	Cyclomydril	RXCUI	92290	
UMLS:C4255519	Receptor, Notch3	MESH	D000071656	Receptor, Notch3
UMLS:C0383972	trimucrotoxin	MESH	C096805	trimucrotoxin
UMLS:C0067648	N-acetyl-beta-endorphin	MESH	C035101	N-acetyl-beta-endorphin
UMLS:C3217828	metoprolol Pill	RXCUI	1163524	
UMLS:C0072619	puromycin N-acetyltransferase	MESH	C045336	puromycin N-acetyltransferase
UMLS:C0013433	Escherichia coli Proton-Translocating ATPase	MESH	C557221	Escherichia coli Proton-Translocating ATPase
UMLS:C1418868	PRB3	MESH	C524762	PRB3 protein, human
UMLS:C0384648	Interleukin-17	MESH	D020381	Interleukin-17
UMLS:C0299382	M protein, Vesicular stomatitis virus	MESH	C094460	M protein, Vesicular stomatitis virus
UMLS:C1456384	KCNK5	MESH	C410295	KCNK5 protein, human
UMLS:C1419842	SCAND1	MESH	C408468	SCAND1 protein, human
UMLS:C0065417	Lyt antibodies	MESH	C029805	Lyt antibodies
UMLS:C1538787	RBM22	MESH	C516558	RBM22 protein, human
UMLS:C1413725	CRY2	MESH	C538966	CRY2 protein, human
UMLS:C0068599	neurokinin B, Pro(2)-Trp(6,8)-Nle(10)-	MESH	C050787	neurokinin B, Pro(2)-Trp(6,8)-Nle(10)-
UMLS:C4548433	Eusol-C	MESH	C000621852	Eusol-C
